"","cas_nakupu","produkt","cena"
"1",2015-01-01,"Mlieko",3
"2",2015-01-01,"Tricko",10
"3",2015-01-01,"Sveter",25
"4",2015-01-01,"Chlieb",2
"5",2015-01-01,"Mlieko",3
"6",2015-01-01,"Chlieb",2
"7",2015-01-01,"Chlieb",2
"8",2015-01-01,"Mlieko",3
"9",2015-01-01,"Mlieko",3
"10",2015-01-01,"Sveter",25
"11",2015-01-01,"Chlieb",2
"12",2015-01-01,"Chlieb",2
"13",2015-01-01,"Mlieko",3
"14",2015-01-01,"Mlieko",3
"15",2015-01-01,"Chlieb",2
"16",2015-01-01,"Tricko",10
"17",2015-01-01,"Chlieb",2
"18",2015-01-01,"Tricko",10
"19",2015-01-01,"Chlieb",2
"20",2015-01-01,"Mlieko",3
"21",2015-01-01,"Tricko",10
"22",2015-01-01,"Chlieb",2
"23",2015-01-01,"Chlieb",2
"24",2015-01-01,"Chlieb",2
"25",2015-01-01,"Chlieb",2
"26",2015-01-01,"Mlieko",3
"27",2015-01-01,"Chlieb",2
"28",2015-01-01,"Mlieko",3
"29",2015-01-01,"Mlieko",3
"30",2015-01-01,"Mlieko",3
"31",2015-01-01,"Chlieb",2
"32",2015-01-01,"Chlieb",2
"33",2015-01-01,"Chlieb",2
"34",2015-01-01,"Chlieb",2
"35",2015-01-01,"Mobil",230
"36",2015-01-01,"Chlieb",2
"37",2015-01-01,"Chlieb",2
"38",2015-01-01,"Mlieko",3
"39",2015-01-01,"Chlieb",2
"40",2015-01-01,"Sveter",25
"41",2015-01-01,"Mlieko",3
"42",2015-01-01,"Chlieb",2
"43",2015-01-02,"Mlieko",3
"44",2015-01-02,"Chlieb",2
"45",2015-01-02,"Tablet",350
"46",2015-01-02,"Chlieb",2
"47",2015-01-02,"Mlieko",3
"48",2015-01-02,"Mlieko",3
"49",2015-01-02,"Chlieb",2
"50",2015-01-02,"Mlieko",3
"51",2015-01-02,"Mlieko",3
"52",2015-01-02,"Mlieko",3
"53",2015-01-02,"Chlieb",2
"54",2015-01-02,"Tricko",10
"55",2015-01-02,"Chlieb",2
"56",2015-01-02,"Chlieb",2
"57",2015-01-02,"Laptop",540
"58",2015-01-02,"Mlieko",3
"59",2015-01-02,"Chlieb",2
"60",2015-01-02,"Mlieko",3
"61",2015-01-02,"Tricko",10
"62",2015-01-02,"Sveter",25
"63",2015-01-02,"Mlieko",3
"64",2015-01-02,"Chlieb",2
"65",2015-01-02,"Chlieb",2
"66",2015-01-02,"Mlieko",3
"67",2015-01-02,"Mlieko",3
"68",2015-01-02,"Mlieko",3
"69",2015-01-02,"Mlieko",3
"70",2015-01-02,"Chlieb",2
"71",2015-01-02,"Mlieko",3
"72",2015-01-02,"Mlieko",3
"73",2015-01-02,"Chlieb",2
"74",2015-01-02,"Sveter",25
"75",2015-01-02,"Tricko",10
"76",2015-01-02,"Mlieko",3
"77",2015-01-02,"Mlieko",3
"78",2015-01-02,"Chlieb",2
"79",2015-01-02,"Sveter",25
"80",2015-01-02,"Mlieko",3
"81",2015-01-02,"Chlieb",2
"82",2015-01-02,"Tricko",10
"83",2015-01-02,"Mlieko",3
"84",2015-01-02,"Mlieko",3
"85",2015-01-02,"Chlieb",2
"86",2015-01-02,"Mobil",230
"87",2015-01-02,"Mlieko",3
"88",2015-01-02,"Chlieb",2
"89",2015-01-02,"Mlieko",3
"90",2015-01-02,"Chlieb",2
"91",2015-01-02,"Chlieb",2
"92",2015-01-02,"Mlieko",3
"93",2015-01-02,"Chlieb",2
"94",2015-01-02,"Tricko",10
"95",2015-01-03,"Chlieb",2
"96",2015-01-03,"Mlieko",3
"97",2015-01-03,"Mlieko",3
"98",2015-01-03,"Chlieb",2
"99",2015-01-03,"Mlieko",3
"100",2015-01-03,"Sveter",25
"101",2015-01-03,"Sveter",25
"102",2015-01-03,"Mlieko",3
"103",2015-01-03,"Chlieb",2
"104",2015-01-03,"Mlieko",3
"105",2015-01-03,"Mlieko",3
"106",2015-01-03,"Chlieb",2
"107",2015-01-03,"Mlieko",3
"108",2015-01-03,"Mlieko",3
"109",2015-01-03,"Chlieb",2
"110",2015-01-03,"Laptop",540
"111",2015-01-03,"Tricko",10
"112",2015-01-03,"Tricko",10
"113",2015-01-03,"Chlieb",2
"114",2015-01-03,"Mlieko",3
"115",2015-01-03,"Mlieko",3
"116",2015-01-03,"Mlieko",3
"117",2015-01-03,"Mlieko",3
"118",2015-01-03,"Chlieb",2
"119",2015-01-03,"Sveter",25
"120",2015-01-03,"Mlieko",3
"121",2015-01-03,"Mlieko",3
"122",2015-01-03,"Chlieb",2
"123",2015-01-03,"Mlieko",3
"124",2015-01-03,"Chlieb",2
"125",2015-01-03,"Tricko",10
"126",2015-01-03,"Mlieko",3
"127",2015-01-03,"Tricko",10
"128",2015-01-03,"Tricko",10
"129",2015-01-03,"Mlieko",3
"130",2015-01-03,"Mlieko",3
"131",2015-01-03,"Chlieb",2
"132",2015-01-03,"Chlieb",2
"133",2015-01-03,"Chlieb",2
"134",2015-01-03,"Tricko",10
"135",2015-01-04,"Chlieb",2
"136",2015-01-04,"Laptop",540
"137",2015-01-04,"Mlieko",3
"138",2015-01-04,"Chlieb",2
"139",2015-01-04,"Mlieko",3
"140",2015-01-04,"Mlieko",3
"141",2015-01-04,"Mlieko",3
"142",2015-01-04,"Mlieko",3
"143",2015-01-04,"Chlieb",2
"144",2015-01-04,"Mlieko",3
"145",2015-01-04,"Mlieko",3
"146",2015-01-04,"Mlieko",3
"147",2015-01-04,"Mlieko",3
"148",2015-01-04,"Sveter",25
"149",2015-01-04,"Chlieb",2
"150",2015-01-04,"Tricko",10
"151",2015-01-04,"Mlieko",3
"152",2015-01-04,"Mlieko",3
"153",2015-01-04,"Tricko",10
"154",2015-01-04,"Chlieb",2
"155",2015-01-04,"Mlieko",3
"156",2015-01-04,"Chlieb",2
"157",2015-01-04,"Sveter",25
"158",2015-01-04,"Mlieko",3
"159",2015-01-04,"Chlieb",2
"160",2015-01-04,"Chlieb",2
"161",2015-01-04,"Mlieko",3
"162",2015-01-04,"Mlieko",3
"163",2015-01-04,"Chlieb",2
"164",2015-01-04,"Mlieko",3
"165",2015-01-04,"Chlieb",2
"166",2015-01-04,"Chlieb",2
"167",2015-01-04,"Mlieko",3
"168",2015-01-04,"Tablet",350
"169",2015-01-04,"Mlieko",3
"170",2015-01-04,"Mlieko",3
"171",2015-01-04,"Mlieko",3
"172",2015-01-04,"Mlieko",3
"173",2015-01-04,"Mlieko",3
"174",2015-01-04,"Chlieb",2
