"","cas_nakupu","produkt","cena"
"1",2015-01-01,"Mleko",55
"2",2015-01-01,"Mleko",55
"3",2015-01-01,"Chleb",40
"4",2015-01-01,"Triko",250
"5",2015-01-01,"Mleko",55
"6",2015-01-01,"Chleb",40
"7",2015-01-01,"Chleb",40
"8",2015-01-01,"Mleko",55
"9",2015-01-01,"Chleb",40
"10",2015-01-01,"Chleb",40
"11",2015-01-01,"Mleko",55
"12",2015-01-01,"Chleb",40
"13",2015-01-01,"Svetr",620
"14",2015-01-01,"Triko",250
"15",2015-01-01,"Chleb",40
"16",2015-01-01,"Chleb",40
"17",2015-01-01,"Mleko",55
"18",2015-01-01,"Chleb",40
"19",2015-01-01,"Chleb",40
"20",2015-01-01,"Chleb",40
"21",2015-01-01,"Chleb",40
"22",2015-01-01,"Chleb",40
"23",2015-01-01,"Chleb",40
"24",2015-01-01,"Mleko",55
"25",2015-01-01,"Chleb",40
"26",2015-01-01,"Chleb",40
"27",2015-01-01,"Chleb",40
"28",2015-01-01,"Chleb",40
"29",2015-01-01,"Triko",250
"30",2015-01-01,"Chleb",40
"31",2015-01-01,"Chleb",40
"32",2015-01-01,"Triko",250
"33",2015-01-01,"Triko",250
"34",2015-01-01,"Mleko",55
"35",2015-01-01,"Mleko",55
"36",2015-01-01,"Chleb",40
"37",2015-01-01,"Mleko",55
"38",2015-01-01,"Chleb",40
"39",2015-01-01,"Mleko",55
"40",2015-01-01,"Chleb",40
"41",2015-01-01,"Mleko",55
"42",2015-01-01,"Chleb",40
"43",2015-01-01,"Chleb",40
"44",2015-01-01,"Mleko",55
"45",2015-01-01,"Triko",250
"46",2015-01-01,"Chleb",40
"47",2015-01-01,"Chleb",40
"48",2015-01-01,"Mleko",55
"49",2015-01-01,"Mleko",55
"50",2015-01-01,"Chleb",40
"51",2015-01-01,"Mleko",55
"52",2015-01-01,"Chleb",40
"53",2015-01-01,"Mleko",55
"54",2015-01-01,"Mleko",55
"55",2015-01-01,"Mleko",55
"56",2015-01-02,"Svetr",620
"57",2015-01-02,"Mleko",55
"58",2015-01-02,"Chleb",40
"59",2015-01-02,"Chleb",40
"60",2015-01-02,"Svetr",620
"61",2015-01-02,"Triko",250
"62",2015-01-02,"Triko",250
"63",2015-01-02,"Chleb",40
"64",2015-01-02,"Chleb",40
"65",2015-01-02,"Chleb",40
"66",2015-01-02,"Mleko",55
"67",2015-01-02,"Laptop",14500
"68",2015-01-02,"Chleb",40
"69",2015-01-02,"Chleb",40
"70",2015-01-02,"Chleb",40
"71",2015-01-02,"Chleb",40
"72",2015-01-02,"Chleb",40
"73",2015-01-02,"Mleko",55
"74",2015-01-02,"Mleko",55
"75",2015-01-02,"Triko",250
"76",2015-01-02,"Triko",250
"77",2015-01-02,"Chleb",40
"78",2015-01-02,"Chleb",40
"79",2015-01-02,"Chleb",40
"80",2015-01-02,"Mleko",55
"81",2015-01-02,"Chleb",40
"82",2015-01-02,"Mleko",55
"83",2015-01-02,"Mleko",55
"84",2015-01-02,"Laptop",14500
"85",2015-01-02,"Triko",250
"86",2015-01-02,"Chleb",40
"87",2015-01-02,"Chleb",40
"88",2015-01-02,"Triko",250
"89",2015-01-02,"Svetr",620
"90",2015-01-02,"Mleko",55
"91",2015-01-02,"Chleb",40
"92",2015-01-02,"Chleb",40
"93",2015-01-02,"Chleb",40
"94",2015-01-02,"Chleb",40
"95",2015-01-02,"Triko",250
"96",2015-01-02,"Mleko",55
"97",2015-01-02,"Mleko",55
"98",2015-01-02,"Mleko",55
"99",2015-01-02,"Triko",250
"100",2015-01-02,"Mleko",55
"101",2015-01-02,"Triko",250
"102",2015-01-02,"Mleko",55
"103",2015-01-02,"Triko",250
"104",2015-01-03,"Mleko",55
"105",2015-01-03,"Chleb",40
"106",2015-01-03,"Chleb",40
"107",2015-01-03,"Mleko",55
"108",2015-01-03,"Chleb",40
"109",2015-01-03,"Mleko",55
"110",2015-01-03,"Mleko",55
"111",2015-01-03,"Chleb",40
"112",2015-01-03,"Chleb",40
"113",2015-01-03,"Mleko",55
"114",2015-01-03,"Chleb",40
"115",2015-01-03,"Chleb",40
"116",2015-01-03,"Mleko",55
"117",2015-01-03,"Chleb",40
"118",2015-01-03,"Chleb",40
"119",2015-01-03,"Chleb",40
"120",2015-01-03,"Mleko",55
"121",2015-01-03,"Triko",250
"122",2015-01-03,"Chleb",40
"123",2015-01-03,"Chleb",40
"124",2015-01-03,"Chleb",40
"125",2015-01-03,"Chleb",40
"126",2015-01-03,"Chleb",40
"127",2015-01-03,"Mleko",55
"128",2015-01-03,"Chleb",40
"129",2015-01-03,"Triko",250
"130",2015-01-03,"Mleko",55
"131",2015-01-03,"Mleko",55
"132",2015-01-03,"Mleko",55
"133",2015-01-03,"Triko",250
"134",2015-01-03,"Chleb",40
"135",2015-01-03,"Chleb",40
"136",2015-01-03,"Tablet",9200
"137",2015-01-03,"Mleko",55
"138",2015-01-03,"Chleb",40
"139",2015-01-03,"Mleko",55
"140",2015-01-03,"Chleb",40
"141",2015-01-03,"Chleb",40
"142",2015-01-03,"Chleb",40
"143",2015-01-03,"Chleb",40
"144",2015-01-03,"Mleko",55
"145",2015-01-03,"Chleb",40
"146",2015-01-03,"Mleko",55
"147",2015-01-03,"Svetr",620
"148",2015-01-03,"Chleb",40
"149",2015-01-03,"Chleb",40
"150",2015-01-03,"Mleko",55
"151",2015-01-03,"Chleb",40
"152",2015-01-03,"Chleb",40
"153",2015-01-03,"Chleb",40
"154",2015-01-04,"Triko",250
"155",2015-01-04,"Chleb",40
"156",2015-01-04,"Chleb",40
"157",2015-01-04,"Chleb",40
"158",2015-01-04,"Chleb",40
"159",2015-01-04,"Triko",250
"160",2015-01-04,"Chleb",40
"161",2015-01-04,"Chleb",40
"162",2015-01-04,"Mleko",55
"163",2015-01-04,"Mleko",55
"164",2015-01-04,"Chleb",40
"165",2015-01-04,"Chleb",40
"166",2015-01-04,"Triko",250
"167",2015-01-04,"Chleb",40
"168",2015-01-04,"Mleko",55
"169",2015-01-04,"Mleko",55
"170",2015-01-04,"Svetr",620
"171",2015-01-04,"Triko",250
"172",2015-01-04,"Chleb",40
"173",2015-01-04,"Chleb",40
"174",2015-01-04,"Chleb",40
"175",2015-01-04,"Chleb",40
"176",2015-01-04,"Chleb",40
"177",2015-01-04,"Chleb",40
"178",2015-01-04,"Mleko",55
"179",2015-01-04,"Mleko",55
"180",2015-01-04,"Chleb",40
"181",2015-01-04,"Mleko",55
"182",2015-01-04,"Chleb",40
"183",2015-01-04,"Chleb",40
"184",2015-01-04,"Mleko",55
"185",2015-01-04,"Mobil",6300
"186",2015-01-04,"Chleb",40
"187",2015-01-04,"Chleb",40
"188",2015-01-04,"Mleko",55
"189",2015-01-04,"Mleko",55
"190",2015-01-04,"Mleko",55
"191",2015-01-04,"Mleko",55
"192",2015-01-04,"Chleb",40
"193",2015-01-04,"Mleko",55
"194",2015-01-04,"Mleko",55
"195",2015-01-04,"Chleb",40
"196",2015-01-04,"Mleko",55
"197",2015-01-04,"Chleb",40
"198",2015-01-04,"Mleko",55
"199",2015-01-04,"Tablet",9200
"200",2015-01-04,"Chleb",40
"201",2015-01-04,"Triko",250
"202",2015-01-04,"Triko",250
"203",2015-01-04,"Mleko",55
"204",2015-01-05,"Triko",250
"205",2015-01-05,"Chleb",40
"206",2015-01-05,"Chleb",40
"207",2015-01-05,"Chleb",40
"208",2015-01-05,"Mleko",55
"209",2015-01-05,"Chleb",40
"210",2015-01-05,"Chleb",40
"211",2015-01-05,"Svetr",620
"212",2015-01-05,"Chleb",40
"213",2015-01-05,"Chleb",40
"214",2015-01-05,"Mleko",55
"215",2015-01-05,"Chleb",40
"216",2015-01-05,"Chleb",40
"217",2015-01-05,"Mleko",55
"218",2015-01-05,"Mleko",55
"219",2015-01-05,"Svetr",620
"220",2015-01-05,"Chleb",40
"221",2015-01-05,"Mleko",55
"222",2015-01-05,"Chleb",40
"223",2015-01-05,"Mleko",55
"224",2015-01-05,"Mleko",55
"225",2015-01-05,"Chleb",40
"226",2015-01-05,"Chleb",40
"227",2015-01-05,"Chleb",40
"228",2015-01-05,"Triko",250
"229",2015-01-05,"Mleko",55
"230",2015-01-05,"Chleb",40
"231",2015-01-05,"Mleko",55
"232",2015-01-05,"Mleko",55
"233",2015-01-05,"Chleb",40
"234",2015-01-05,"Mleko",55
"235",2015-01-05,"Chleb",40
"236",2015-01-05,"Mleko",55
"237",2015-01-05,"Chleb",40
"238",2015-01-05,"Mleko",55
"239",2015-01-05,"Mleko",55
"240",2015-01-05,"Chleb",40
"241",2015-01-05,"Mleko",55
"242",2015-01-05,"Svetr",620
"243",2015-01-05,"Chleb",40
"244",2015-01-05,"Mleko",55
"245",2015-01-05,"Mleko",55
"246",2015-01-05,"Mleko",55
"247",2015-01-05,"Triko",250
"248",2015-01-05,"Chleb",40
"249",2015-01-05,"Triko",250
"250",2015-01-05,"Mleko",55
"251",2015-01-05,"Triko",250
"252",2015-01-05,"Chleb",40
"253",2015-01-05,"Chleb",40
"254",2015-01-05,"Chleb",40
"255",2015-01-06,"Chleb",40
"256",2015-01-06,"Svetr",620
"257",2015-01-06,"Mleko",55
"258",2015-01-06,"Chleb",40
"259",2015-01-06,"Mleko",55
"260",2015-01-06,"Chleb",40
"261",2015-01-06,"Triko",250
"262",2015-01-06,"Chleb",40
"263",2015-01-06,"Mleko",55
"264",2015-01-06,"Mleko",55
"265",2015-01-06,"Mleko",55
"266",2015-01-06,"Chleb",40
"267",2015-01-06,"Mleko",55
"268",2015-01-06,"Chleb",40
"269",2015-01-06,"Chleb",40
"270",2015-01-06,"Chleb",40
"271",2015-01-06,"Mleko",55
"272",2015-01-06,"Mleko",55
"273",2015-01-06,"Chleb",40
"274",2015-01-06,"Chleb",40
"275",2015-01-06,"Mleko",55
"276",2015-01-06,"Chleb",40
"277",2015-01-06,"Mleko",55
"278",2015-01-06,"Mleko",55
"279",2015-01-06,"Mleko",55
"280",2015-01-06,"Chleb",40
"281",2015-01-06,"Chleb",40
"282",2015-01-06,"Chleb",40
"283",2015-01-06,"Mleko",55
"284",2015-01-06,"Chleb",40
"285",2015-01-06,"Mleko",55
"286",2015-01-06,"Chleb",40
"287",2015-01-06,"Triko",250
"288",2015-01-06,"Chleb",40
"289",2015-01-06,"Chleb",40
"290",2015-01-06,"Chleb",40
"291",2015-01-06,"Chleb",40
"292",2015-01-06,"Laptop",14500
"293",2015-01-06,"Chleb",40
"294",2015-01-06,"Triko",250
"295",2015-01-06,"Mleko",55
"296",2015-01-06,"Chleb",40
"297",2015-01-06,"Mleko",55
