"","cas_nakupu","produkt","cena"
"1",2015-01-01,"Chlieb",2
"2",2015-01-01,"Chlieb",2
"3",2015-01-01,"Mobil",230
"4",2015-01-01,"Laptop",540
"5",2015-01-01,"Mlieko",3
"6",2015-01-01,"Chlieb",2
"7",2015-01-01,"Mlieko",3
"8",2015-01-01,"Mlieko",3
"9",2015-01-01,"Mlieko",3
"10",2015-01-01,"Chlieb",2
"11",2015-01-01,"Chlieb",2
"12",2015-01-01,"Chlieb",2
"13",2015-01-01,"Chlieb",2
"14",2015-01-01,"Chlieb",2
"15",2015-01-01,"Chlieb",2
"16",2015-01-01,"Mobil",230
"17",2015-01-01,"Chlieb",2
"18",2015-01-01,"Chlieb",2
"19",2015-01-01,"Chlieb",2
"20",2015-01-01,"Mlieko",3
"21",2015-01-01,"Tablet",350
"22",2015-01-01,"Mlieko",3
"23",2015-01-01,"Chlieb",2
"24",2015-01-01,"Chlieb",2
"25",2015-01-01,"Chlieb",2
"26",2015-01-01,"Mlieko",3
"27",2015-01-01,"Chlieb",2
"28",2015-01-01,"Chlieb",2
"29",2015-01-01,"Chlieb",2
"30",2015-01-01,"Chlieb",2
"31",2015-01-01,"Chlieb",2
"32",2015-01-01,"Chlieb",2
"33",2015-01-01,"Chlieb",2
"34",2015-01-01,"Laptop",540
"35",2015-01-01,"Chlieb",2
"36",2015-01-01,"Chlieb",2
"37",2015-01-01,"Mlieko",3
"38",2015-01-01,"Tricko",10
"39",2015-01-01,"Chlieb",2
"40",2015-01-01,"Chlieb",2
"41",2015-01-01,"Chlieb",2
"42",2015-01-01,"Tricko",10
"43",2015-01-02,"Chlieb",2
"44",2015-01-02,"Tricko",10
"45",2015-01-02,"Chlieb",2
"46",2015-01-02,"Chlieb",2
"47",2015-01-02,"Mlieko",3
"48",2015-01-02,"Chlieb",2
"49",2015-01-02,"Mlieko",3
"50",2015-01-02,"Chlieb",2
"51",2015-01-02,"Chlieb",2
"52",2015-01-02,"Tablet",350
"53",2015-01-02,"Chlieb",2
"54",2015-01-02,"Tricko",10
"55",2015-01-02,"Chlieb",2
"56",2015-01-02,"Chlieb",2
"57",2015-01-02,"Mobil",230
"58",2015-01-02,"Chlieb",2
"59",2015-01-02,"Mlieko",3
"60",2015-01-02,"Mlieko",3
"61",2015-01-02,"Tricko",10
"62",2015-01-02,"Chlieb",2
"63",2015-01-02,"Chlieb",2
"64",2015-01-02,"Tricko",10
"65",2015-01-02,"Tricko",10
"66",2015-01-02,"Mlieko",3
"67",2015-01-02,"Chlieb",2
"68",2015-01-02,"Chlieb",2
"69",2015-01-02,"Mlieko",3
"70",2015-01-02,"Sveter",25
"71",2015-01-02,"Mlieko",3
"72",2015-01-02,"Chlieb",2
"73",2015-01-02,"Chlieb",2
"74",2015-01-02,"Mobil",230
"75",2015-01-02,"Chlieb",2
"76",2015-01-02,"Tricko",10
"77",2015-01-02,"Chlieb",2
"78",2015-01-02,"Chlieb",2
"79",2015-01-02,"Mlieko",3
"80",2015-01-02,"Sveter",25
"81",2015-01-02,"Chlieb",2
