"","cas_nakupu","produkt","cena"
"1",2015-01-01,"Mlieko",3
"2",2015-01-01,"Chlieb",2
"3",2015-01-01,"Chlieb",2
"4",2015-01-01,"Chlieb",2
"5",2015-01-01,"Tablet",350
"6",2015-01-01,"Chlieb",2
"7",2015-01-01,"Chlieb",2
"8",2015-01-01,"Mlieko",3
"9",2015-01-01,"Chlieb",2
"10",2015-01-01,"Tricko",10
"11",2015-01-01,"Mlieko",3
"12",2015-01-01,"Mlieko",3
"13",2015-01-01,"Mlieko",3
"14",2015-01-01,"Chlieb",2
"15",2015-01-01,"Laptop",540
"16",2015-01-01,"Mlieko",3
"17",2015-01-01,"Mlieko",3
"18",2015-01-01,"Chlieb",2
"19",2015-01-01,"Chlieb",2
"20",2015-01-01,"Laptop",540
"21",2015-01-01,"Chlieb",2
"22",2015-01-01,"Chlieb",2
"23",2015-01-01,"Tricko",10
"24",2015-01-01,"Chlieb",2
"25",2015-01-01,"Chlieb",2
"26",2015-01-01,"Mlieko",3
"27",2015-01-01,"Chlieb",2
"28",2015-01-01,"Tricko",10
"29",2015-01-02,"Tricko",10
"30",2015-01-02,"Mlieko",3
"31",2015-01-02,"Mlieko",3
"32",2015-01-02,"Chlieb",2
"33",2015-01-02,"Chlieb",2
"34",2015-01-02,"Chlieb",2
"35",2015-01-02,"Mlieko",3
"36",2015-01-02,"Mlieko",3
"37",2015-01-02,"Mlieko",3
"38",2015-01-02,"Mlieko",3
"39",2015-01-02,"Chlieb",2
"40",2015-01-02,"Chlieb",2
"41",2015-01-02,"Chlieb",2
"42",2015-01-02,"Mlieko",3
"43",2015-01-02,"Mlieko",3
"44",2015-01-02,"Chlieb",2
"45",2015-01-02,"Chlieb",2
"46",2015-01-02,"Chlieb",2
"47",2015-01-02,"Chlieb",2
"48",2015-01-02,"Mlieko",3
"49",2015-01-02,"Chlieb",2
"50",2015-01-02,"Tablet",350
"51",2015-01-02,"Chlieb",2
"52",2015-01-02,"Chlieb",2
"53",2015-01-02,"Chlieb",2
"54",2015-01-02,"Mlieko",3
"55",2015-01-02,"Mlieko",3
"56",2015-01-02,"Sveter",25
"57",2015-01-02,"Chlieb",2
"58",2015-01-02,"Mlieko",3
"59",2015-01-02,"Mlieko",3
"60",2015-01-02,"Chlieb",2
"61",2015-01-02,"Tricko",10
"62",2015-01-02,"Mlieko",3
"63",2015-01-02,"Chlieb",2
"64",2015-01-02,"Chlieb",2
"65",2015-01-02,"Mlieko",3
"66",2015-01-02,"Sveter",25
"67",2015-01-02,"Mlieko",3
"68",2015-01-03,"Mlieko",3
"69",2015-01-03,"Chlieb",2
"70",2015-01-03,"Tricko",10
"71",2015-01-03,"Sveter",25
"72",2015-01-03,"Chlieb",2
"73",2015-01-03,"Chlieb",2
"74",2015-01-03,"Mlieko",3
"75",2015-01-03,"Mlieko",3
"76",2015-01-03,"Chlieb",2
"77",2015-01-03,"Mlieko",3
"78",2015-01-03,"Mobil",230
"79",2015-01-03,"Chlieb",2
"80",2015-01-03,"Chlieb",2
"81",2015-01-03,"Sveter",25
"82",2015-01-03,"Chlieb",2
"83",2015-01-03,"Chlieb",2
"84",2015-01-03,"Mlieko",3
"85",2015-01-03,"Tricko",10
"86",2015-01-03,"Mlieko",3
"87",2015-01-03,"Laptop",540
"88",2015-01-03,"Chlieb",2
"89",2015-01-03,"Chlieb",2
"90",2015-01-03,"Chlieb",2
"91",2015-01-03,"Chlieb",2
"92",2015-01-03,"Chlieb",2
"93",2015-01-04,"Chlieb",2
"94",2015-01-04,"Sveter",25
"95",2015-01-04,"Chlieb",2
"96",2015-01-04,"Tricko",10
"97",2015-01-04,"Chlieb",2
"98",2015-01-04,"Chlieb",2
"99",2015-01-04,"Mlieko",3
"100",2015-01-04,"Mlieko",3
"101",2015-01-04,"Mlieko",3
"102",2015-01-04,"Tricko",10
"103",2015-01-04,"Mlieko",3
"104",2015-01-04,"Mlieko",3
"105",2015-01-04,"Chlieb",2
"106",2015-01-04,"Mlieko",3
"107",2015-01-04,"Chlieb",2
"108",2015-01-04,"Chlieb",2
"109",2015-01-04,"Chlieb",2
"110",2015-01-04,"Chlieb",2
"111",2015-01-04,"Chlieb",2
"112",2015-01-04,"Chlieb",2
"113",2015-01-04,"Mlieko",3
"114",2015-01-04,"Chlieb",2
"115",2015-01-04,"Mlieko",3
"116",2015-01-04,"Chlieb",2
"117",2015-01-04,"Mlieko",3
"118",2015-01-04,"Chlieb",2
"119",2015-01-04,"Tricko",10
"120",2015-01-04,"Chlieb",2
"121",2015-01-04,"Chlieb",2
"122",2015-01-04,"Chlieb",2
"123",2015-01-05,"Mlieko",3
"124",2015-01-05,"Chlieb",2
"125",2015-01-05,"Chlieb",2
"126",2015-01-05,"Chlieb",2
"127",2015-01-05,"Mlieko",3
"128",2015-01-05,"Tricko",10
"129",2015-01-05,"Mlieko",3
"130",2015-01-05,"Mlieko",3
"131",2015-01-05,"Mlieko",3
"132",2015-01-05,"Mlieko",3
"133",2015-01-05,"Chlieb",2
"134",2015-01-05,"Chlieb",2
"135",2015-01-05,"Mlieko",3
"136",2015-01-05,"Mlieko",3
"137",2015-01-05,"Chlieb",2
"138",2015-01-05,"Chlieb",2
"139",2015-01-05,"Chlieb",2
"140",2015-01-05,"Sveter",25
"141",2015-01-05,"Chlieb",2
"142",2015-01-05,"Mlieko",3
"143",2015-01-05,"Chlieb",2
"144",2015-01-05,"Mlieko",3
"145",2015-01-05,"Chlieb",2
"146",2015-01-05,"Mlieko",3
"147",2015-01-05,"Mlieko",3
"148",2015-01-05,"Sveter",25
"149",2015-01-06,"Sveter",25
"150",2015-01-06,"Sveter",25
"151",2015-01-06,"Mlieko",3
"152",2015-01-06,"Chlieb",2
"153",2015-01-06,"Chlieb",2
"154",2015-01-06,"Chlieb",2
"155",2015-01-06,"Chlieb",2
"156",2015-01-06,"Mlieko",3
"157",2015-01-06,"Laptop",540
"158",2015-01-06,"Mlieko",3
"159",2015-01-06,"Mlieko",3
"160",2015-01-06,"Mlieko",3
"161",2015-01-06,"Tablet",350
"162",2015-01-06,"Mlieko",3
"163",2015-01-06,"Chlieb",2
"164",2015-01-06,"Mlieko",3
"165",2015-01-06,"Mlieko",3
"166",2015-01-06,"Sveter",25
"167",2015-01-06,"Tricko",10
"168",2015-01-06,"Mlieko",3
"169",2015-01-06,"Chlieb",2
"170",2015-01-06,"Chlieb",2
"171",2015-01-06,"Chlieb",2
"172",2015-01-06,"Mlieko",3
"173",2015-01-06,"Chlieb",2
"174",2015-01-06,"Chlieb",2
"175",2015-01-06,"Chlieb",2
"176",2015-01-07,"Tablet",350
"177",2015-01-07,"Chlieb",2
"178",2015-01-07,"Chlieb",2
"179",2015-01-07,"Chlieb",2
"180",2015-01-07,"Chlieb",2
"181",2015-01-07,"Mlieko",3
"182",2015-01-07,"Mlieko",3
"183",2015-01-07,"Chlieb",2
"184",2015-01-07,"Sveter",25
"185",2015-01-07,"Chlieb",2
"186",2015-01-07,"Chlieb",2
"187",2015-01-07,"Mlieko",3
"188",2015-01-07,"Chlieb",2
"189",2015-01-07,"Chlieb",2
"190",2015-01-07,"Mlieko",3
"191",2015-01-07,"Mlieko",3
"192",2015-01-07,"Chlieb",2
"193",2015-01-07,"Chlieb",2
"194",2015-01-07,"Chlieb",2
"195",2015-01-07,"Chlieb",2
"196",2015-01-07,"Mlieko",3
"197",2015-01-07,"Chlieb",2
"198",2015-01-07,"Chlieb",2
"199",2015-01-07,"Mlieko",3
"200",2015-01-07,"Chlieb",2
"201",2015-01-07,"Mlieko",3
"202",2015-01-07,"Chlieb",2
"203",2015-01-07,"Chlieb",2
"204",2015-01-07,"Tricko",10
"205",2015-01-07,"Chlieb",2
"206",2015-01-07,"Chlieb",2
"207",2015-01-07,"Mobil",230
"208",2015-01-07,"Mlieko",3
"209",2015-01-07,"Mlieko",3
"210",2015-01-07,"Tricko",10
"211",2015-01-07,"Chlieb",2
"212",2015-01-07,"Tricko",10
"213",2015-01-08,"Mlieko",3
"214",2015-01-08,"Mlieko",3
"215",2015-01-08,"Chlieb",2
"216",2015-01-08,"Chlieb",2
"217",2015-01-08,"Chlieb",2
"218",2015-01-08,"Chlieb",2
"219",2015-01-08,"Tricko",10
"220",2015-01-08,"Mlieko",3
"221",2015-01-08,"Mlieko",3
"222",2015-01-08,"Tricko",10
"223",2015-01-08,"Mlieko",3
"224",2015-01-08,"Sveter",25
"225",2015-01-08,"Mlieko",3
"226",2015-01-08,"Mlieko",3
"227",2015-01-08,"Chlieb",2
"228",2015-01-09,"Chlieb",2
"229",2015-01-09,"Mlieko",3
"230",2015-01-09,"Mlieko",3
"231",2015-01-09,"Mlieko",3
"232",2015-01-09,"Chlieb",2
"233",2015-01-09,"Chlieb",2
"234",2015-01-09,"Chlieb",2
"235",2015-01-09,"Tricko",10
"236",2015-01-09,"Mlieko",3
"237",2015-01-09,"Mlieko",3
"238",2015-01-09,"Chlieb",2
"239",2015-01-09,"Tricko",10
"240",2015-01-09,"Chlieb",2
"241",2015-01-09,"Mlieko",3
"242",2015-01-09,"Sveter",25
"243",2015-01-09,"Chlieb",2
"244",2015-01-09,"Chlieb",2
"245",2015-01-09,"Chlieb",2
"246",2015-01-09,"Mlieko",3
"247",2015-01-09,"Mlieko",3
"248",2015-01-09,"Chlieb",2
"249",2015-01-09,"Sveter",25
"250",2015-01-09,"Chlieb",2
"251",2015-01-09,"Mlieko",3
"252",2015-01-09,"Tricko",10
"253",2015-01-09,"Chlieb",2
"254",2015-01-09,"Tricko",10
"255",2015-01-09,"Chlieb",2
"256",2015-01-10,"Tricko",10
"257",2015-01-10,"Chlieb",2
"258",2015-01-10,"Mlieko",3
"259",2015-01-10,"Mlieko",3
"260",2015-01-10,"Chlieb",2
"261",2015-01-10,"Chlieb",2
"262",2015-01-10,"Chlieb",2
"263",2015-01-10,"Chlieb",2
"264",2015-01-10,"Chlieb",2
"265",2015-01-10,"Chlieb",2
"266",2015-01-10,"Mlieko",3
"267",2015-01-10,"Tricko",10
"268",2015-01-10,"Mlieko",3
"269",2015-01-10,"Chlieb",2
"270",2015-01-10,"Chlieb",2
"271",2015-01-10,"Tricko",10
"272",2015-01-10,"Chlieb",2
"273",2015-01-10,"Mlieko",3
"274",2015-01-10,"Chlieb",2
"275",2015-01-10,"Chlieb",2
"276",2015-01-10,"Mlieko",3
"277",2015-01-10,"Chlieb",2
"278",2015-01-10,"Chlieb",2
"279",2015-01-10,"Chlieb",2
"280",2015-01-10,"Mlieko",3
"281",2015-01-10,"Chlieb",2
"282",2015-01-10,"Chlieb",2
"283",2015-01-11,"Mlieko",3
"284",2015-01-11,"Mlieko",3
"285",2015-01-11,"Chlieb",2
"286",2015-01-11,"Mlieko",3
"287",2015-01-11,"Chlieb",2
"288",2015-01-11,"Chlieb",2
"289",2015-01-11,"Mlieko",3
"290",2015-01-11,"Tricko",10
"291",2015-01-11,"Sveter",25
"292",2015-01-11,"Sveter",25
"293",2015-01-11,"Chlieb",2
"294",2015-01-11,"Mlieko",3
"295",2015-01-11,"Chlieb",2
"296",2015-01-11,"Mlieko",3
"297",2015-01-11,"Mlieko",3
"298",2015-01-11,"Mlieko",3
"299",2015-01-11,"Chlieb",2
"300",2015-01-11,"Chlieb",2
"301",2015-01-11,"Chlieb",2
"302",2015-01-11,"Tablet",350
"303",2015-01-11,"Chlieb",2
"304",2015-01-11,"Chlieb",2
"305",2015-01-11,"Chlieb",2
"306",2015-01-11,"Mlieko",3
"307",2015-01-11,"Chlieb",2
"308",2015-01-11,"Chlieb",2
"309",2015-01-11,"Mlieko",3
"310",2015-01-12,"Mlieko",3
"311",2015-01-12,"Mlieko",3
"312",2015-01-12,"Chlieb",2
"313",2015-01-12,"Chlieb",2
"314",2015-01-12,"Chlieb",2
"315",2015-01-12,"Chlieb",2
"316",2015-01-12,"Chlieb",2
"317",2015-01-12,"Chlieb",2
"318",2015-01-12,"Chlieb",2
"319",2015-01-12,"Chlieb",2
"320",2015-01-12,"Mlieko",3
"321",2015-01-12,"Mlieko",3
"322",2015-01-12,"Chlieb",2
"323",2015-01-12,"Chlieb",2
"324",2015-01-12,"Chlieb",2
"325",2015-01-12,"Chlieb",2
"326",2015-01-12,"Chlieb",2
"327",2015-01-12,"Chlieb",2
"328",2015-01-12,"Chlieb",2
"329",2015-01-12,"Chlieb",2
"330",2015-01-12,"Mlieko",3
"331",2015-01-12,"Mlieko",3
"332",2015-01-13,"Chlieb",2
"333",2015-01-13,"Chlieb",2
"334",2015-01-13,"Chlieb",2
"335",2015-01-13,"Mlieko",3
"336",2015-01-13,"Mlieko",3
"337",2015-01-13,"Chlieb",2
"338",2015-01-13,"Mlieko",3
"339",2015-01-13,"Chlieb",2
"340",2015-01-13,"Mlieko",3
"341",2015-01-13,"Mlieko",3
"342",2015-01-13,"Chlieb",2
"343",2015-01-13,"Chlieb",2
"344",2015-01-13,"Chlieb",2
"345",2015-01-13,"Chlieb",2
"346",2015-01-13,"Mlieko",3
"347",2015-01-14,"Chlieb",2
"348",2015-01-14,"Chlieb",2
"349",2015-01-14,"Mlieko",3
"350",2015-01-14,"Chlieb",2
"351",2015-01-14,"Chlieb",2
"352",2015-01-14,"Mlieko",3
"353",2015-01-14,"Chlieb",2
"354",2015-01-14,"Tricko",10
"355",2015-01-14,"Chlieb",2
"356",2015-01-14,"Sveter",25
"357",2015-01-14,"Chlieb",2
"358",2015-01-14,"Chlieb",2
"359",2015-01-14,"Chlieb",2
"360",2015-01-14,"Chlieb",2
"361",2015-01-14,"Mlieko",3
"362",2015-01-14,"Tablet",350
"363",2015-01-14,"Chlieb",2
"364",2015-01-14,"Chlieb",2
"365",2015-01-14,"Chlieb",2
"366",2015-01-14,"Tricko",10
"367",2015-01-14,"Chlieb",2
"368",2015-01-14,"Chlieb",2
"369",2015-01-14,"Chlieb",2
"370",2015-01-14,"Chlieb",2
"371",2015-01-15,"Chlieb",2
"372",2015-01-15,"Tricko",10
"373",2015-01-15,"Mlieko",3
"374",2015-01-15,"Chlieb",2
"375",2015-01-15,"Chlieb",2
"376",2015-01-15,"Tricko",10
"377",2015-01-15,"Mlieko",3
"378",2015-01-15,"Mlieko",3
"379",2015-01-15,"Chlieb",2
"380",2015-01-15,"Tricko",10
"381",2015-01-15,"Sveter",25
"382",2015-01-15,"Chlieb",2
"383",2015-01-15,"Chlieb",2
"384",2015-01-15,"Tricko",10
"385",2015-01-15,"Chlieb",2
"386",2015-01-15,"Mlieko",3
"387",2015-01-15,"Mlieko",3
"388",2015-01-15,"Chlieb",2
"389",2015-01-15,"Tricko",10
"390",2015-01-15,"Chlieb",2
"391",2015-01-15,"Chlieb",2
"392",2015-01-15,"Chlieb",2
"393",2015-01-15,"Mlieko",3
"394",2015-01-15,"Tricko",10
"395",2015-01-15,"Chlieb",2
"396",2015-01-15,"Mlieko",3
"397",2015-01-15,"Mlieko",3
"398",2015-01-15,"Mlieko",3
"399",2015-01-15,"Chlieb",2
"400",2015-01-16,"Chlieb",2
"401",2015-01-16,"Chlieb",2
"402",2015-01-16,"Mlieko",3
"403",2015-01-16,"Sveter",25
"404",2015-01-16,"Chlieb",2
"405",2015-01-16,"Chlieb",2
"406",2015-01-16,"Chlieb",2
"407",2015-01-16,"Chlieb",2
"408",2015-01-16,"Chlieb",2
"409",2015-01-16,"Chlieb",2
"410",2015-01-16,"Tricko",10
"411",2015-01-16,"Chlieb",2
"412",2015-01-16,"Mlieko",3
"413",2015-01-16,"Tablet",350
"414",2015-01-16,"Mlieko",3
"415",2015-01-16,"Chlieb",2
"416",2015-01-16,"Mlieko",3
"417",2015-01-16,"Mlieko",3
"418",2015-01-16,"Mlieko",3
"419",2015-01-16,"Chlieb",2
"420",2015-01-16,"Mobil",230
