"","cas_nakupu","produkt","cena"
"1",2015-01-01,"Chleb",40
"2",2015-01-01,"Triko",250
"3",2015-01-01,"Chleb",40
"4",2015-01-01,"Mleko",55
"5",2015-01-01,"Chleb",40
"6",2015-01-01,"Chleb",40
"7",2015-01-01,"Mleko",55
"8",2015-01-01,"Mleko",55
"9",2015-01-01,"Mleko",55
"10",2015-01-01,"Mleko",55
"11",2015-01-01,"Svetr",620
"12",2015-01-01,"Chleb",40
"13",2015-01-01,"Triko",250
"14",2015-01-01,"Mleko",55
"15",2015-01-01,"Mleko",55
"16",2015-01-01,"Chleb",40
"17",2015-01-01,"Mleko",55
"18",2015-01-01,"Triko",250
"19",2015-01-01,"Mleko",55
"20",2015-01-01,"Laptop",14500
"21",2015-01-01,"Laptop",14500
"22",2015-01-01,"Mleko",55
"23",2015-01-01,"Mleko",55
"24",2015-01-01,"Mleko",55
"25",2015-01-01,"Chleb",40
"26",2015-01-01,"Chleb",40
"27",2015-01-01,"Chleb",40
"28",2015-01-01,"Chleb",40
"29",2015-01-01,"Triko",250
"30",2015-01-01,"Mobil",6300
"31",2015-01-01,"Mleko",55
"32",2015-01-01,"Tablet",9200
"33",2015-01-02,"Mleko",55
"34",2015-01-02,"Svetr",620
"35",2015-01-02,"Chleb",40
"36",2015-01-02,"Triko",250
"37",2015-01-02,"Triko",250
"38",2015-01-02,"Triko",250
"39",2015-01-02,"Svetr",620
"40",2015-01-02,"Triko",250
"41",2015-01-02,"Mleko",55
"42",2015-01-02,"Svetr",620
"43",2015-01-02,"Triko",250
"44",2015-01-02,"Triko",250
"45",2015-01-02,"Svetr",620
"46",2015-01-02,"Mleko",55
"47",2015-01-02,"Mleko",55
"48",2015-01-02,"Mleko",55
"49",2015-01-02,"Triko",250
"50",2015-01-02,"Chleb",40
"51",2015-01-02,"Chleb",40
"52",2015-01-02,"Mleko",55
"53",2015-01-02,"Laptop",14500
"54",2015-01-02,"Chleb",40
"55",2015-01-02,"Chleb",40
"56",2015-01-02,"Mleko",55
"57",2015-01-02,"Chleb",40
"58",2015-01-02,"Mleko",55
"59",2015-01-02,"Mleko",55
"60",2015-01-02,"Mleko",55
"61",2015-01-02,"Svetr",620
"62",2015-01-02,"Mleko",55
"63",2015-01-02,"Chleb",40
"64",2015-01-02,"Triko",250
"65",2015-01-02,"Mleko",55
"66",2015-01-02,"Svetr",620
"67",2015-01-02,"Triko",250
"68",2015-01-02,"Mobil",6300
"69",2015-01-02,"Laptop",14500
"70",2015-01-02,"Triko",250
"71",2015-01-02,"Chleb",40
"72",2015-01-02,"Mleko",55
"73",2015-01-02,"Laptop",14500
"74",2015-01-02,"Chleb",40
"75",2015-01-02,"Mleko",55
"76",2015-01-02,"Mleko",55
"77",2015-01-02,"Mleko",55
"78",2015-01-02,"Laptop",14500
"79",2015-01-03,"Chleb",40
"80",2015-01-03,"Mleko",55
"81",2015-01-03,"Svetr",620
"82",2015-01-03,"Mleko",55
"83",2015-01-03,"Chleb",40
"84",2015-01-03,"Chleb",40
"85",2015-01-03,"Mleko",55
"86",2015-01-03,"Mleko",55
"87",2015-01-03,"Chleb",40
"88",2015-01-03,"Chleb",40
"89",2015-01-03,"Svetr",620
"90",2015-01-03,"Chleb",40
"91",2015-01-03,"Triko",250
"92",2015-01-03,"Chleb",40
"93",2015-01-03,"Mleko",55
"94",2015-01-03,"Mleko",55
"95",2015-01-03,"Triko",250
"96",2015-01-03,"Mleko",55
"97",2015-01-03,"Chleb",40
"98",2015-01-03,"Triko",250
"99",2015-01-03,"Chleb",40
"100",2015-01-03,"Mleko",55
"101",2015-01-03,"Chleb",40
"102",2015-01-03,"Laptop",14500
"103",2015-01-03,"Mleko",55
"104",2015-01-03,"Triko",250
"105",2015-01-03,"Svetr",620
"106",2015-01-03,"Mleko",55
"107",2015-01-03,"Chleb",40
"108",2015-01-03,"Mleko",55
"109",2015-01-03,"Chleb",40
"110",2015-01-03,"Chleb",40
"111",2015-01-03,"Chleb",40
"112",2015-01-03,"Chleb",40
"113",2015-01-03,"Chleb",40
"114",2015-01-03,"Mleko",55
"115",2015-01-03,"Chleb",40
"116",2015-01-03,"Triko",250
"117",2015-01-03,"Chleb",40
"118",2015-01-03,"Mleko",55
"119",2015-01-03,"Mleko",55
"120",2015-01-03,"Triko",250
"121",2015-01-03,"Chleb",40
"122",2015-01-03,"Chleb",40
"123",2015-01-03,"Mleko",55
"124",2015-01-03,"Chleb",40
"125",2015-01-03,"Mleko",55
"126",2015-01-03,"Mleko",55
"127",2015-01-03,"Mleko",55
"128",2015-01-03,"Mleko",55
"129",2015-01-03,"Mleko",55
"130",2015-01-03,"Mleko",55
"131",2015-01-04,"Chleb",40
"132",2015-01-04,"Mleko",55
"133",2015-01-04,"Chleb",40
"134",2015-01-04,"Mleko",55
"135",2015-01-04,"Chleb",40
"136",2015-01-04,"Chleb",40
"137",2015-01-04,"Svetr",620
"138",2015-01-04,"Mleko",55
"139",2015-01-04,"Mleko",55
"140",2015-01-04,"Mleko",55
"141",2015-01-04,"Chleb",40
"142",2015-01-04,"Triko",250
"143",2015-01-04,"Mleko",55
"144",2015-01-04,"Chleb",40
"145",2015-01-04,"Triko",250
"146",2015-01-04,"Mleko",55
"147",2015-01-04,"Laptop",14500
"148",2015-01-04,"Chleb",40
"149",2015-01-04,"Chleb",40
"150",2015-01-04,"Mleko",55
"151",2015-01-04,"Mleko",55
"152",2015-01-04,"Mleko",55
"153",2015-01-04,"Mleko",55
"154",2015-01-04,"Mleko",55
"155",2015-01-04,"Mleko",55
"156",2015-01-04,"Mleko",55
"157",2015-01-04,"Chleb",40
"158",2015-01-04,"Chleb",40
"159",2015-01-04,"Triko",250
"160",2015-01-04,"Triko",250
"161",2015-01-04,"Mleko",55
"162",2015-01-04,"Mleko",55
"163",2015-01-04,"Mleko",55
"164",2015-01-04,"Mleko",55
"165",2015-01-04,"Triko",250
"166",2015-01-05,"Svetr",620
"167",2015-01-05,"Mleko",55
"168",2015-01-05,"Triko",250
"169",2015-01-05,"Chleb",40
"170",2015-01-05,"Chleb",40
"171",2015-01-05,"Chleb",40
"172",2015-01-05,"Mleko",55
"173",2015-01-05,"Svetr",620
"174",2015-01-05,"Chleb",40
"175",2015-01-05,"Chleb",40
"176",2015-01-05,"Mleko",55
"177",2015-01-05,"Mleko",55
